,Title,URL,Index,Duration
0,The Walters -- I Love You So,https://www.youtube.com/watch?v=NwFVSclD_uc,1,160
1,Foster The People - Pumped Up Kicks (Official Video),https://www.youtube.com/watch?v=SDTZ7iX4vTQ,2,256
2,Quarters of Change - Kiwi (feat. Juice),https://www.youtube.com/watch?v=6b7wYq67-aU,3,334
3,STEVE LACY - RYD / DARK RED,https://www.youtube.com/watch?v=x-OzspEcQG8,4,369
4,Vance Joy - 'Riptide' Official Video,https://www.youtube.com/watch?v=uJ_1HMAGb4k,5,204
5,Ashley Kutcher - Love You More (Lyric Video),https://www.youtube.com/watch?v=n3rmA4_fCUo,6,173
6,Lana Del Rey - Summertime Sadness,https://www.youtube.com/watch?v=nVjsGKrE6E8,7,283
7,Beach House - Space Song,https://www.youtube.com/watch?v=RBtlPT23PTM,8,321
8,MICHELLE - SYNCOPATE (Live From the 6 Line),https://www.youtube.com/watch?v=UfBqQlzBHjI,9,131
9,BENEE - Supalonely ft. Gus Dapperton,https://www.youtube.com/watch?v=Rb6Scz-5YOs,10,221
10,Lord Huron - The Night We Met (Official Lyric Video),https://www.youtube.com/watch?v=wGF7PswOENQ,11,208
11,Remember Your Love - By Raphaela Gilla (The Official Music Video),https://www.youtube.com/watch?v=83Hheqy9MlQ,12,284
12,Rhye - Open (Official Video),https://www.youtube.com/watch?v=sng_CdAAw8M,13,267
13,dodie - I Kissed Someone (It Wasn't You),https://www.youtube.com/watch?v=V9ni06SSZSY,14,162
14,Nilüfer Yanya - anotherlife (Official Video),https://www.youtube.com/watch?v=Wh_c0e7LgMk,15,204
15,Arctic Monkeys - I Wanna Be Yours,https://www.youtube.com/watch?v=fJLQCf4mFP0,16,184
16,flora cash - You're Somebody Else (Official Video),https://www.youtube.com/watch?v=AzjMmwki1Fs,17,231
17,Daniel Benyamin -  I Gotta Know (official video),https://www.youtube.com/watch?v=GBxbskJXmq0,18,198
18,Lana Del Rey - Born To Die (Official Music Video),https://www.youtube.com/watch?v=Bag1gUxuU0g,19,287
19,Lana Del Rey - Young and Beautiful (Official Music Video),https://www.youtube.com/watch?v=o_1aF54DO60,20,239
20,Nazaré Rush - Graffiti Walls [Official Music Video],https://www.youtube.com/watch?v=bsqnvASVkKg,21,250
21,The Neighbourhood - Daddy Issues (Official Video),https://www.youtube.com/watch?v=_lMlsPQJs6U,22,221
22,Cults - Always Forever (Official Video),https://www.youtube.com/watch?v=Gqk7DocjQ3w,23,242
23,DOTE - Thoughts (Official Video),https://www.youtube.com/watch?v=Duyanfu4DAg,24,180
24,Rex Orange County - Best Friend (Official Audio),https://www.youtube.com/watch?v=OqBuXQLR4Y8,25,263
25,Lana Del Rey - Blue Jeans,https://www.youtube.com/watch?v=JRWox-i6aAk,26,261
26,"Bruce Sudano - ""Fatal Love"" (Official Music Video)",https://www.youtube.com/watch?v=eDIZCZQDb24,27,192
27,SYML  -  Where's My Love (Acoustic Version) [Official Video],https://www.youtube.com/watch?v=goWa6EzkCh4,28,252
28,Kodaline - All I Want (Part 1),https://www.youtube.com/watch?v=mtf7hC17IBM,29,319
29,Baker Grace - Lullaby (Official Music Video),https://www.youtube.com/watch?v=-6K1jNKEIeQ,30,201
30,Lana Del Rey - Brooklyn Baby (Official Audio),https://www.youtube.com/watch?v=T5xcnjAG8pE,31,353
31,K.Flay - High Enough,https://www.youtube.com/watch?v=j04JKdcXjkU,32,231
32,girl in red - we fell in love in october,https://www.youtube.com/watch?v=iggmiF7DNoM,33,187
33,The Lumineers - It Wasn't Easy To Be Happy For You (Part 4 Of 10),https://www.youtube.com/watch?v=eGReASgVM1Q,34,249
34,Brynn Elliott - Terrified (Official Visualizer),https://www.youtube.com/watch?v=zAbeJTc9z5s,35,148
35,Project213 - Personality For Miles (Official Music Video),https://www.youtube.com/watch?v=GMsXdPuK63U,36,210
36,Joji - YEAH RIGHT,https://www.youtube.com/watch?v=tG7wLK4aAOE,37,175
37,Ethan Gold - Storm Coming (Official Music Video),https://www.youtube.com/watch?v=xJE_Mn6Uugs,39,235
38,Dayglow - Can I Call You Tonight? (Official Video),https://www.youtube.com/watch?v=hh1WeQxfCX0,40,300
39,Not Allowed,https://www.youtube.com/watch?v=Z96O6q_w6qI,41,168
40,K. - Cigarettes After Sex,https://www.youtube.com/watch?v=L4sbDxR22z4,42,317
41,SHAED - Trampoline (Official Video),https://www.youtube.com/watch?v=4h26oYuE2h0,43,185
