,Title,URL,Index,Duration
0,The Walters -- I Love You So,https://www.youtube.com/watch?v=NwFVSclD_uc,1,160
1,Happier Than Ever,https://www.youtube.com/watch?v=DG8o24dFq7w,2,299
2,DOTE - Thoughts (Official Video),https://www.youtube.com/watch?v=Duyanfu4DAg,3,180
3,The Neighbourhood - Sweater Weather (Official Video),https://www.youtube.com/watch?v=GCdwKhTtNNw,4,252
4,Foster The People - Pumped Up Kicks (Official Video),https://www.youtube.com/watch?v=SDTZ7iX4vTQ,5,256
5,Alexander 23 - Hate Me If It Helps [Official Music Video],https://www.youtube.com/watch?v=NZ4OwtXruRM,6,202
6,Milky Chance - Stolen Dance (Official Video),https://www.youtube.com/watch?v=iX-QaNzd-0Y,7,313
7,Dark Red,https://www.youtube.com/watch?v=L0wusEVceek,8,173
8,Baker Grace - Lullaby (Official Music Video),https://www.youtube.com/watch?v=-6K1jNKEIeQ,9,201
9,Vance Joy - 'Riptide' Official Video,https://www.youtube.com/watch?v=uJ_1HMAGb4k,10,204
10,alien blues (clean version) by vundabar,https://www.youtube.com/watch?v=wjsuTB0BHQQ,11,157
11,Ethan Gold - Storm Coming (Official Music Video),https://www.youtube.com/watch?v=xJE_Mn6Uugs,12,235
12,Beach House - Space Song,https://www.youtube.com/watch?v=RBtlPT23PTM,13,321
13,BENEE - Supalonely (Clean - Lyrics) ft. Gus Dapperton,https://www.youtube.com/watch?v=TCz9ibPjY4Y,14,225
14,Brynn Elliott - Terrified (Official Visualizer),https://www.youtube.com/watch?v=zAbeJTc9z5s,15,148
15,Arctic Monkeys - I Wanna Be Yours,https://www.youtube.com/watch?v=fJLQCf4mFP0,16,184
16,flora cash - You're Somebody Else (Lyric Video),https://www.youtube.com/watch?v=qVdPh2cBTN0,17,223
17,Nilüfer Yanya - anotherlife (Official Video),https://www.youtube.com/watch?v=Wh_c0e7LgMk,18,204
18,Rex Orange County - Best Friend (Clean),https://www.youtube.com/watch?v=NmYTftP2ssw,19,261
19,Empire Of The Sun - Walking On A Dream (Official Music Video),https://www.youtube.com/watch?v=eimgRedLkkU,20,199
20,Ashley Kutcher - Love You More (Lyric Video),https://www.youtube.com/watch?v=n3rmA4_fCUo,21,173
21,Kodaline - All I Want (Part 1),https://www.youtube.com/watch?v=mtf7hC17IBM,22,319
22,Cults - Always Forever (Official Video),https://www.youtube.com/watch?v=Gqk7DocjQ3w,23,242
23,Daniel Benyamin -  I Gotta Know (official video),https://www.youtube.com/watch?v=GBxbskJXmq0,24,198
