,Title,URL,Index,Duration
0,Seven Lions - Another Way [Blanke Remix] ft. April Bender,https://www.youtube.com/watch?v=GPh-BzonVmA,1,272
1,Seven Lions - Senseless (Nurko Remix) [ft.Tyler Graves],https://www.youtube.com/watch?v=LsrHNihJEmk,2,278
2,Virtual Self - Particle Arts (Lyric/Animated Video),https://www.youtube.com/watch?v=wn4ihmoqHrM,3,236
3,Major Lazer & DJ Snake - Lean On [Mr. Carmack x Great Dane Remix] (ft. MØ),https://www.youtube.com/watch?v=i2tQZIxkxFM,4,224
4,StayLoose - GetBack2U [Visualzier],https://www.youtube.com/watch?v=npAjoD1wCbo,5,248
5,Ella Isaacson & Gallant - Expectations (R3HAB Remix) [Lyrics/Lyric Video],https://www.youtube.com/watch?v=XTtwXcAZqlg,6,145
6,ATLAST - Fracture (ft. Josh Rubin),https://www.youtube.com/watch?v=qtu9J9xzaHY,8,211
7,DJ Snake - Trust Nobody (Paris La Défense Arena Music Video),https://www.youtube.com/watch?v=LkXPIVkQCyc,9,211
8,Andrelli - Hey There Delilah (Lyrics/Lyric Video),https://www.youtube.com/watch?v=CNoD1Gf_rrs,10,183
9,Blanke x Digital Mirage [Full Set],https://www.youtube.com/watch?v=Q36NgJS1urk,11,1723
10,CONS - Sweet Dreams (Are Made Of This),https://www.youtube.com/watch?v=FX2aXN_91pE,12,150
11,CONS - Sweet Dreams (Are Made Of This),https://www.youtube.com/watch?v=FX2aXN_91pE,13,150
12,NERVO - Hurt ft. Frida (Lyrics/Lyric Video),https://www.youtube.com/watch?v=EyAeUb4vVDQ,14,208
13,Elohim - Digital Mirage [Full Live Set],https://www.youtube.com/watch?v=G7k5TbkLdZ4,15,2753
14,Deathpact - Digital Mirage 2 [Full Set],https://www.youtube.com/watch?v=WghXuwBsrnc,16,1743
15,MALAA - Digital Mirage 2 [Full Set],https://www.youtube.com/watch?v=M23FTVwWiMk,18,2563
16,Aluna - Warrior (ft. SG Lewis) [Lyrics/Lyric Video],https://www.youtube.com/watch?v=zViX6nA32mc,19,165
17,Tritonal & Brooke Williams - Someone To Love You [Lyrics/Lyric Video],https://www.youtube.com/watch?v=iSsEDc9XYmQ,20,292
18,Galantis x Ship Wrek x Pink Sweat$ - Only A Fool (Official Lyric Video),https://www.youtube.com/watch?v=rDqgRCda65E,21,165
19,Devault & Manila Killa - You And Me Now (ft. Griff Clawson) [Lyric Video],https://www.youtube.com/watch?v=ybB7Hhmpamk,22,266
20,pluko – COLOR BLIND [Album Film] *Epilepsy Warning*,https://www.youtube.com/watch?v=AvweZsfynHw,23,2684
21,Digital Mirage 2: Mixtape,https://www.youtube.com/watch?v=2us5NFPhRxM,24,4161
22,Rico & Miella - We Are The Lights [Lyrics/Lyric Video],https://www.youtube.com/watch?v=-OsbFUZgyqg,25,187
23,Dark Heart - Black Heart [Lyrics/Lyric Video],https://www.youtube.com/watch?v=rtJrTrEv2y4,26,199
24,Kaskade with Project 46 - Chains [Lyrics/Lyric Video],https://www.youtube.com/watch?v=3oZU_PNA0ZQ,27,223
25,Yetep & RUNN - Alright [Lyric Video],https://www.youtube.com/watch?v=FR1iJRRXijg,28,188
26,Biicla - Deeper (Zeds Dead x Funkin Matt Remix),https://www.youtube.com/watch?v=lZkr7SF5b3s,29,194
27,"Fairlane, Syence & Kwesi - Replay",https://www.youtube.com/watch?v=P0lX3uAC6JI,30,230
28,Gareth Emery - End of Days (Lyric Video),https://www.youtube.com/watch?v=GG8zlTUqcOg,31,210
29,ILLENIUM - Take You Down (Nurko Remix),https://www.youtube.com/watch?v=-vHARm6svv4,32,249
30,Kingdom Hearts - Face The World [Music Video] (Flipboitamidles Mashup),https://www.youtube.com/watch?v=x2Xh7veTulU,33,198
31,NOTD & Astrid S - I Don't Know Why [Lyrics/Lyric Video],https://www.youtube.com/watch?v=j8kcdHAPL_E,34,208
32,Avril Lavigne x Porter Robinson - I'm With You (Language Edit) / Secret Sky,https://www.youtube.com/watch?v=NszX8INt2V8,35,225
33,StayLoose - Just A Feeling (Visualizer),https://www.youtube.com/watch?v=2x96EhC_RtA,36,204
34,Tiësto & Becky Hill - Nothing Really Matters (Visualizer),https://www.youtube.com/watch?v=mv_6YkCF63s,37,158
35,Project 46 & BYNON - Somebody New (Lyrics/Lyric Video),https://www.youtube.com/watch?v=OWuDln36Weo,38,260
36,OTR - Best ft. Emerson Leif,https://www.youtube.com/watch?v=BHOAaSXD1u0,39,213
37,"ILLENIUM, X Ambassadors - In Your Arms (Acoustic Version / Stripped)",https://www.youtube.com/watch?v=ftRESnegV_Y,40,246
38,JVNA - Safehouse (Lyrics/Lyric Video),https://www.youtube.com/watch?v=tqo7qzaE1VM,41,199
39,yetep - I Hope ft. Heather Sommer & Kyle Reynolds,https://www.youtube.com/watch?v=jLgJNL0ad-s,42,218
40,Midnight Kids - Monsters (Lyrics/Lyric Video),https://www.youtube.com/watch?v=gc65KX2IA18,43,238
41,BRONSON - VAULTS,https://www.youtube.com/watch?v=m-l5NH9Jnno,44,245
42,BRONSON - HEART ATTACK (ft. lau.ra),https://www.youtube.com/watch?v=V-3ujVFuxxQ,45,210
43,Tritonal - Born Yesterday (Animated Lyric Video),https://www.youtube.com/watch?v=f7XtrVzEiK4,46,402
44,SLANDER & William Black - Back To U,https://www.youtube.com/watch?v=QxqEGe8Xf0w,47,215
45,Kosling - Berg (Tribute),https://www.youtube.com/watch?v=EJnK8nRIho4,48,197
46,Avicii - Two Year Mix,https://www.youtube.com/watch?v=cb0KJj7C6NU,49,4074
47,Avicii - Two Year Tribute Mix,https://www.youtube.com/watch?v=PLSiIswGnU4,50,669
48,Party Favor - Digital Mirage (Full Set),https://www.youtube.com/watch?v=i1Cp4JxTnXM,51,2725
49,Mija - Digital Mirage (Full Set),https://www.youtube.com/watch?v=p6OSDTS9ov0,52,3819
50,Hayd - Safe & Sound (Lyrics/Lyric Video),https://www.youtube.com/watch?v=XdIu4ocGYjI,54,204
51,TOKiMONSTA - Digital Mirage (Full Set),https://www.youtube.com/watch?v=B0LoEGvq-ew,55,3597
52,NERO - Satisfy (Blanke Flip),https://www.youtube.com/watch?v=a6ePjDu8nK4,56,251
53,Wax Motif - Keep Raving (Lyric Video) [Epilepsy Warning],https://www.youtube.com/watch?v=g55jEABkPR0,57,251
54,YehMe2 - Digital Mirage (Full Set),https://www.youtube.com/watch?v=BrmReqeqOGM,58,2716
55,Project 46 & Linney - Remember You (Lyric Video),https://www.youtube.com/watch?v=cWrJ6szw2_c,59,236
56,A-Trak - Digital Mirage (Full Set),https://www.youtube.com/watch?v=LHo1wjEx3uw,60,2709
57,Kaskade - Digital Mirage (Full Set),https://www.youtube.com/watch?v=ELzLY8rOQcg,61,3741
58,"Rezz, Grabbitz - Someone Else",https://www.youtube.com/watch?v=gsd8OjRv5uo,62,199
59,TOKYO MACHINE - DIGITAL MIRAGE 2020,https://www.youtube.com/watch?v=nqwZ0C5jsZs,63,1800
60,Louis The Child - Digital Mirage (Playground Set),https://www.youtube.com/watch?v=VBk2vSPh9nE,64,3591
61,Adventure Club - Digital Mirage (Full Set),https://www.youtube.com/watch?v=AND6m6nbWWc,65,3622
62,SHADES (Alix Perez x EPROM) - Digital Mirage,https://www.youtube.com/watch?v=QmSDSMmjaHA,66,3120
63,Alison Wonderland - Digital Mirage (Full Set),https://www.youtube.com/watch?v=Wa5Is8Soj_g,67,4393
64,Dab the Sky (Said the Sky & Dabin) - Digital Mirage (Full Set),https://www.youtube.com/watch?v=XX5nL9EJiWU,69,3612
65,G Jones @ Digital Mirage (Full Set),https://www.youtube.com/watch?v=kkpYoTu0G1s,70,2775
66,Ghastly - Help ft. KARRA,https://www.youtube.com/watch?v=NX-v7hw_m7I,71,193
67,Louis The Child - Little Things (ft. Quinn XCII & Chelsea Cutler),https://www.youtube.com/watch?v=QVfKcG7eleM,72,197
68,LIONE - Revive (Aiobahn Remix),https://www.youtube.com/watch?v=pnF5YxO78DY,73,174
