,Title,URL,Index,Duration
0,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,https://www.youtube.com/watch?v=RgKAFK5djSk,1,237
1,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,https://www.youtube.com/watch?v=OPf0YbXqDm0,2,270
2,Katy Perry - Roar (Official),https://www.youtube.com/watch?v=CevxZvSJLk8,3,269
3,Justin Bieber - Sorry (PURPOSE : The Movement),https://www.youtube.com/watch?v=fRh_vgS2dFE,4,205
4,OneRepublic - Counting Stars (Official Music Video),https://www.youtube.com/watch?v=hT_nvWreIhg,5,283
5,Ed Sheeran - Thinking Out Loud (Official Music Video),https://www.youtube.com/watch?v=lp-EO5I60KA,6,297
6,Alan Walker - Faded,https://www.youtube.com/watch?v=60ItHLz5WEA,7,213
7,Katy Perry - Dark Horse (Official) ft. Juicy J,https://www.youtube.com/watch?v=0KSOMA3QBU0,8,225
8,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)",https://www.youtube.com/watch?v=NUsoVlDFqZg,9,287
9,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),https://www.youtube.com/watch?v=YqeW9_5kURI,10,179
10,Taylor Swift - Shake It Off,https://www.youtube.com/watch?v=nfWlot6h_JM,11,242
11,Taylor Swift - Blank Space,https://www.youtube.com/watch?v=e-ORhEE9VVg,12,272
12,The Chainsmokers - Closer (Lyric) ft. Halsey,https://www.youtube.com/watch?v=PT2_F-1esPk,13,262
13,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],https://www.youtube.com/watch?v=papuvlVeZg8,14,254
14,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna,https://www.youtube.com/watch?v=kOkQ4T5WO9E,15,239
15,twenty one pilots: Stressed Out [OFFICIAL VIDEO],https://www.youtube.com/watch?v=pXRviuL6vMY,16,225
16,Eminem - Love The Way You Lie ft. Rihanna,https://www.youtube.com/watch?v=uelHwf8o7_U,17,267
17,Ellie Goulding - Love Me Like You Do (Official Video),https://www.youtube.com/watch?v=AJtDXIazrMo,18,249
18,Marshmello - Alone (Official Music Video),https://www.youtube.com/watch?v=ALZHF5UqnU4,19,200
19,Justin Bieber - What Do You Mean? (Official Music Video),https://www.youtube.com/watch?v=DK_0jXPuIr0,20,298
20,"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)",https://www.youtube.com/watch?v=KQ6zr6kCPj8,21,376
