,Title,URL,Index,Duration
0,Zedd - Follow you down,https://www.youtube.com/watch?v=v0DYZ4WvLdo,1,348
1,Avicii vs Nicky Romero - I Could Be The One,https://www.youtube.com/watch?v=TrnUKfSg_kg,2,329
2,Swedish House Mafia - Greyhound (Original Mix),https://www.youtube.com/watch?v=hBRKSIj2tMc,3,411
3,Madeon - The City (Official Video),https://www.youtube.com/watch?v=iqUBmeFn7qM,4,241
4,Florence And The Machine - Cosmic Love (Seven Lions Remix),https://www.youtube.com/watch?v=PAvdqEsobaw,5,275
5,Ellie Goulding - Your Song (Blackmill Dubstep Remix) + High Quality Download Link,https://www.youtube.com/watch?v=ScLVtsi0cfc,6,281
6,"""FACE OF GOD"" R/D FEAT. NADINE RISHA",https://www.youtube.com/watch?v=CumjptUdiYE,7,260
7,Mattafix - Big City Life (Official Music Video),https://www.youtube.com/watch?v=JS7S2dVPjXU,8,237
8,MACKLEMORE X RYAN LEWIS - AND WE DANCED [OFFICIAL VIDEO],https://www.youtube.com/watch?v=Vhf5cuXiLTA,9,362
9,Dub FX 'Flow' feat. Mr Woodnote,https://www.youtube.com/watch?v=WhBoR_tgXCI,10,548
10,Stromae - Papaoutai,https://www.youtube.com/watch?v=oiKj0Z_Xnjc,11,233
11,Empire Of The Sun - We Are The People (Official Music Video),https://www.youtube.com/watch?v=hN5X4kGhAtU,12,312
12,Edward Maya & Vika Jigulina - Stereo Love (Official Music Video),https://www.youtube.com/watch?v=p-Z3YrHJ1sU,13,253
13,The xx - Crystalised (Official Video),https://www.youtube.com/watch?v=Pib8eYDSFEI,14,201
14,Purity Ring - Grammy,https://www.youtube.com/watch?v=5SZ0gF7Fu0M,15,180
15,Swedish House Mafia - One (Your Name) (Official Video),https://www.youtube.com/watch?v=PkQ5rEJaTmk,16,195
16,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],https://www.youtube.com/watch?v=8UVNT4wvIGY,17,244
17,Nils Frahm - Says (Live on KEXP),https://www.youtube.com/watch?v=xLNeZogTsK8,18,569
18,Uncle Kracker - Follow Me [Official Video],https://www.youtube.com/watch?v=0Gjx-ZQuQ_Y,19,230
19,Burial - Archangel,https://www.youtube.com/watch?v=WQIQ_muEKHk,21,239
20,Nightcall feat. Dreamhour - Dead V (Vocal Version),https://www.youtube.com/watch?v=EiacumxjvjQ,22,252
21,Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),https://www.youtube.com/watch?v=fiore9Z5iUg,23,194
