,Title,URL,Index,Duration
0,Illenium - Crawl Outta Love (feat. Annika Wells),https://www.youtube.com/watch?v=5CMuZrTy6jw,1,242
1,Bronze Whale - Patterns,https://www.youtube.com/watch?v=ifHi5TV1Uzk,2,193
2,LissA x MEMBA - Sun's Up,https://www.youtube.com/watch?v=opwluvYuiyI,3,200
3,Two Feet - Love Is A Bitch,https://www.youtube.com/watch?v=_DjE4gbIVZk,4,178
4,Flux Pavilion - Somebody Else (feat. GLNNA),https://www.youtube.com/watch?v=eH-55GN9Dos,5,240
5,Stephen - Crossfire,https://www.youtube.com/watch?v=eH4F1Tdb040,6,271
6,YVR - Unique,https://www.youtube.com/watch?v=DETpUdZ_7Zk,7,209
7,Finding Hope - Where (feat. Deverano),https://www.youtube.com/watch?v=y8UPP7Kdv5M,8,173
8,Emmit Fenn - Modern Flame (feat. Yuna),https://www.youtube.com/watch?v=qseILVg63jE,9,185
9,Wildes - Bare,https://www.youtube.com/watch?v=NLeDhKnZSYw,10,242
10,LissA vs MEMBA - Don't Look Back,https://www.youtube.com/watch?v=IAyStBv8Fh0,11,208
11,Echos - Leave Your Lover,https://www.youtube.com/watch?v=PURp-73jgjs,12,260
12,Melvv - Not Me (feat. Two Feet),https://www.youtube.com/watch?v=4eWOxxkHHyM,13,181
13,Emmit Fenn - Blinded,https://www.youtube.com/watch?v=3UdbsqCd6RU,14,254
14,HONORS - Over,https://www.youtube.com/watch?v=IH8RVvIHB9E,15,264
15,Nimino - Hug Me Shy,https://www.youtube.com/watch?v=HeGvPWS1mJY,16,205
16,SMNM - Gravity,https://www.youtube.com/watch?v=Wx0b6uGcFg4,17,204
17,Glass Face - Holland (Pairanoid Remix),https://www.youtube.com/watch?v=KfDhIUcN6Lw,18,177
18,Gallant - Talking To Myself,https://www.youtube.com/watch?v=ypWwCRGQ19w,19,238
19,Fakear - Song For Jo,https://www.youtube.com/watch?v=V4D--V3Ohts,20,205
20,Creaky Jackals - High Tide (feat. WILD),https://www.youtube.com/watch?v=sWT8eOjxkck,21,206
21,Xan Griffin - U Remind Me (feat. Anuka),https://www.youtube.com/watch?v=YgCjT3iYDW0,22,285
22,Mielo x Ieuan - Pretty When U Cry,https://www.youtube.com/watch?v=u2KM2C1aCbw,23,234
23,IHF - Awake,https://www.youtube.com/watch?v=oRGUXl9qNBY,24,206
24,SMNM - Baby Girl,https://www.youtube.com/watch?v=v4PD40fz8mY,25,243
25,Monsieur Adi - Bad Habits (feat. VÉRITÉ),https://www.youtube.com/watch?v=sFUI_Wmstnw,26,242
26,Møme - Playground,https://www.youtube.com/watch?v=8OkEs-rBDi4,27,274
27,KING - Police,https://www.youtube.com/watch?v=HDtfspc_KQk,28,210
28,Dillistone & LILI N - Rude,https://www.youtube.com/watch?v=3HJ0mTLGCAg,29,234
29,Harlœ - All In My Feelings,https://www.youtube.com/watch?v=gwo-I7Zmmcs,30,187
30,IHF (Imagined Herbal Flows) - Fade,https://www.youtube.com/watch?v=Bo7bHey0GPM,31,252
31,Seven Lions x Illenium x Said The Sky - Rush Over Me (feat. HALIENE),https://www.youtube.com/watch?v=uhA55hYnoHw,32,260
32,MAX - Lights Down Low (feat. gnash),https://www.youtube.com/watch?v=EtDuGIbaj6o,33,226
33,Hazey Eyes - Our Story,https://www.youtube.com/watch?v=aWVmRwnAJ98,34,145
34,LUCASV - Touch (feat. Tequisha),https://www.youtube.com/watch?v=F-2hw0B7RK8,35,211
35,Tilka - Missing Home (feat. Always Never),https://www.youtube.com/watch?v=CR7TN-j4lY4,36,397
36,Jacob Banks - Monster (feat. Avelino),https://www.youtube.com/watch?v=t9Le57GzYA8,37,234
37,HERO - The Juice,https://www.youtube.com/watch?v=VS3bEyAKHcA,38,220
38,Stalgia - In The Trees,https://www.youtube.com/watch?v=nz855xsurpk,39,209
39,Michl - Broken Roots,https://www.youtube.com/watch?v=Gulxh-mLs_Q,40,226
40,Jane XØ x Dannic - Undone,https://www.youtube.com/watch?v=xMtSwsbZfaQ,41,232
41,EDEN - rock and roll,https://www.youtube.com/watch?v=dQLngV189IU,42,296
42,Hydrogen Sea - Beating Heart,https://www.youtube.com/watch?v=SJpWgLakkXI,43,216
43,Echos - Take,https://www.youtube.com/watch?v=uM0aJ4nV1Ic,44,196
44,Mazde - Battas (feat. LissA),https://www.youtube.com/watch?v=i9bmuOl7QN4,45,301
45,The Black Queen - The End Where We Start,https://www.youtube.com/watch?v=sVPVY1x0FSM,46,243
46,Airplane Man - Take Me All The Way Home,https://www.youtube.com/watch?v=PP2fPJXIc8s,47,205
47,Jakoban & D!avolo - Stay (feat. Gaby Henshaw),https://www.youtube.com/watch?v=YlwveK7O5uA,48,224
48,Tritonal - Only Mortal (feat. Nick Sibicky),https://www.youtube.com/watch?v=_8O3wdtbeFY,49,340
49,Seven Lions - She Was (feat. Birds Of Paradise),https://www.youtube.com/watch?v=jS3FveGPGEo,50,291
50,Vallis Alps - Young (Feki Remix),https://www.youtube.com/watch?v=hxAz3JCMmDI,51,281
51,WILD - Back To You (Nurko Remix),https://www.youtube.com/watch?v=TQxp1aP_IaE,52,250
52,Emmit Fenn - Painting Greys,https://www.youtube.com/watch?v=bU0tKzy5-uE,53,221
53,WILD - Back To You,https://www.youtube.com/watch?v=HtcWvsiQkZE,54,191
54,Dabin - Hold (feat. Daniela Andrade),https://www.youtube.com/watch?v=AhhEYe5Hczo,55,358
55,Dahlia Sleeps - Breathe,https://www.youtube.com/watch?v=im-S9Y6-OsA,56,229
56,twocolors - Places,https://www.youtube.com/watch?v=dIbIDraAUFg,57,196
57,RITUAL - Blood Flow,https://www.youtube.com/watch?v=2d6sGwOYTUo,58,247
58,Oh Wonder - All We Do,https://www.youtube.com/watch?v=F30G87zlRPw,59,212
59,Missio - I Run To You,https://www.youtube.com/watch?v=O1RHkPGb31Q,60,256
60,PETIT BISCUIT - Sunset Lover,https://www.youtube.com/watch?v=DVIFQJiPWvc,61,236
61,Set Mo - White Dress (feat. Deutsch Duke),https://www.youtube.com/watch?v=KXWWCfkShxc,62,323
62,Blackbear - Waste Away (feat. Devon Baldwin),https://www.youtube.com/watch?v=5WfckpKceDE,63,184
63,R I T U A L - Amnesia (feat. Bishop Nehru),https://www.youtube.com/watch?v=vq7iAClWcqE,64,181
64,Vanic X K.Flay - Cops,https://www.youtube.com/watch?v=jxJnIKSlZq4,65,276
65,Oh Wonder - White Blood,https://www.youtube.com/watch?v=etYtpKN8TgM,66,256
66,San Holo - Hold Fast (feat. Tessa Douwstra),https://www.youtube.com/watch?v=80TSLiJz31o,67,211
67,XYLØ - Between The Devil And The Deep Blue Sea,https://www.youtube.com/watch?v=xfaHZXWV0g8,68,231
68,Lucian X Remmi - Bobby K,https://www.youtube.com/watch?v=JBNdpVK9dQQ,69,202
69,Tep No - It's Alright (feat. Lizz Kellermann) (NGHTMRE Remix),https://www.youtube.com/watch?v=4JD6vnJghpc,70,221
70,IMLAY - Empress,https://www.youtube.com/watch?v=qdrCr6XGlxY,71,171
71,MakeLove - Dancing All The Time (Embody Remix),https://www.youtube.com/watch?v=yLVlCnAnKXk,72,212
72,SoySauce - Gravity Waves (feat. Saturn),https://www.youtube.com/watch?v=Gv-QDwPtj6c,73,243
73,Vanic X Zella Day - Hypnotic,https://www.youtube.com/watch?v=O8K2QRwKq54,74,281
74,Nightcall - Dead V,https://www.youtube.com/watch?v=I4ArKr6W8YM,75,247
75,Susie Suh x Robot Koch - Here With Me,https://www.youtube.com/watch?v=a5sux0Ap-FI,76,236
76,Styalz Fuego & Stuck Note - Wait Up,https://www.youtube.com/watch?v=LJxFJMUC88o,77,233
77,Julian Kruse - Fallen From The Sky,https://www.youtube.com/watch?v=gqv0qL0gc7k,79,277
78,RHODES - Your Soul,https://www.youtube.com/watch?v=SGA7oTu_A9k,80,227
79,Conner Youngblood - Amelia,https://www.youtube.com/watch?v=-QSt7DoRMxI,81,246
80,Tep No - Promises,https://www.youtube.com/watch?v=qokWpkRva5Y,82,206
81,Sweet Talker - Burn It Up All Night,https://www.youtube.com/watch?v=a1oByfD1z4g,83,211
82,The Same - Soul Calling,https://www.youtube.com/watch?v=iqVv2NTXFOg,84,251
83,Sweet Talker - Here We Go Again,https://www.youtube.com/watch?v=Y1II6Ok1t9A,85,235
84,Say Lou Lou - Feels Like We Only Go Backwards (Tame Impala Cover),https://www.youtube.com/watch?v=yLS7xSZuVRI,86,213
85,PatrickReza - Take Me Away (feat. Jilian),https://www.youtube.com/watch?v=wBhD3O6kRH8,87,245
86,Isbells - Reunite (Niklas Thal Edit),https://www.youtube.com/watch?v=Q888YgS2X6o,88,381
87,Panama Wedding - All Of The People,https://www.youtube.com/watch?v=92q5cbSf4Gk,89,214
88,MTNS - Lost Track of Time,https://www.youtube.com/watch?v=M_ZI4y2F_uo,90,174
