,Title,URL,Index,Duration
0,"""Coming Home"" Wonderful Melodic Dubstep Mix",https://www.youtube.com/watch?v=tPFz04LSa2U,1,3600
1,Then & Now (Liquid Drum & Bass Mix),https://www.youtube.com/watch?v=fEJnyaDhF4Q,2,4489
2,"Justin Bieber, Kygo - With Me Music Mix 2019",https://www.youtube.com/watch?v=VMo4046xbd4,3,3625
3,Liquid Drum and Bass Mix #60,https://www.youtube.com/watch?v=aJoo79OwZEI,5,3699
4,Timber | A Chill Mix,https://www.youtube.com/watch?v=wlsdMpnDBn8,6,3704
5,Best Chillstep Dubstep Mix ever,https://www.youtube.com/watch?v=mjwHO1b_tbE,7,1942
6,The Beauty of Dubstep [HD],https://www.youtube.com/watch?v=-y56HElMPaI,8,2003
7,The Beauty of Dubstep [HD],https://www.youtube.com/watch?v=-y56HElMPaI,9,2003
8,Chillstep Dubstep Arctic Scenery Mix,https://www.youtube.com/watch?v=clEoHX-msSc,10,1055
9,J. Cole 1 Hour of Chill Songs,https://www.youtube.com/watch?v=lRaXPHFEbKA,12,3541
10,The Best Of Alesso ( 2013 ),https://www.youtube.com/watch?v=JN5KpL8Pd8c,13,2857
11,Boris Brejcha Style @ Art of Minimal Techno Cartoon Tripping - The Mad Doctor by RTTWLR,https://www.youtube.com/watch?v=WddpRmmAYkg,14,3326
12,Liquid Drum and Bass Mix.,https://www.youtube.com/watch?v=KOX67QP75ZY,15,2033
13,Illenium x Porter Robinson x Said the Sky x Seven Lions MIX,https://www.youtube.com/watch?v=FkPIt97C52k,16,1805
14,Chillstep Dubstep Passing Time Mix,https://www.youtube.com/watch?v=fK9PIoWfOu4,17,763
15,Full Machinarium OST,https://www.youtube.com/watch?v=03l0ksPHYG4,18,3866
16,Journey OST - Complete Soundtrack,https://www.youtube.com/watch?v=M3hFN8UrBPw,19,3483
17,Proximity - Best EDM of 2010-2019 (Decade Mix),https://www.youtube.com/watch?v=gnV-8pkILF0,21,8222
18,Zyzz - Rise of Aesthetic,https://www.youtube.com/watch?v=ZJFtYPsnTsA,22,900
19,Hippie Sabotage - The Best of Chill Music (Mix),https://www.youtube.com/watch?v=ODXq4FtS-ys,23,1635
20,Russian House Music No.17 (1080p HD),https://www.youtube.com/watch?v=XH9Yw5TsIXw,24,725
21,Drum and Bass Mix 2011 December,https://www.youtube.com/watch?v=_VTF-jgpIlE,25,2480
22,Phaeleh - Fallen Light Full CD,https://www.youtube.com/watch?v=qajFhFmDdho,26,4251
23,'Approaching Farewell' (Melodic Dubstep Mix),https://www.youtube.com/watch?v=8hbKGAVwSA4,27,3601
24,Uplifting Dream Trance 21 Mix,https://www.youtube.com/watch?v=PDDZKUxv9Hs,28,1914
25,Proximity - Illenium & Friends Mixtape (EDM/Melodic Dubstep Mix),https://www.youtube.com/watch?v=FAsrHKXHh4o,29,3556
26,Gryffin - Digital Mirage (Official Full DJ Set),https://www.youtube.com/watch?v=65A7_eNDcks,30,3563
27,That 2 A.M. Fresh Air,https://www.youtube.com/watch?v=EJew8Mvgau0,31,5853
28,"Concentrate Your Mind | lofi hip hop | Chillhop, Jazzhop, Chillout | [Study/Sleep/Game]",https://www.youtube.com/watch?v=BnSjnz_mSxk,32,3141
29,MARTIN GARRIX LIVE @ MY ROOFTOP IN AMSTERDAM,https://www.youtube.com/watch?v=tspNk3SwZ9s,33,4357
30,Best of Shingo Nakamura 01 (2-Hour Melodic Progressive House Mix),https://www.youtube.com/watch?v=WYp9Eo9T3BA,34,8120
31,Boris Brejcha Style @ Art of Minimal Techno Cartoon Tripping - Mystery Disney by RTTWLR,https://www.youtube.com/watch?v=lgjY-lVtJZA,35,5805
32,Boris Brejcha - Art of Minimal (Tripping) by Achi Rubency,https://www.youtube.com/watch?v=iXrBO46Q-fw,36,4851
33,"Boris Brejcha at Grand Palais in Paris, France for Cercle",https://www.youtube.com/watch?v=vqz8c4ZP3Wg,37,8028
34,MARTIN GARRIX LIVE @ 538 KINGSDAY FROM THE TOP OF A'DAM TOWER,https://www.youtube.com/watch?v=1jQYrvFf5NI,38,1186
35,Axwell Λ Ingrosso - More Than You Know Visual EP (Official Video),https://www.youtube.com/watch?v=Py9paavgZ-0,39,740
36,'Forgotten Dreams' Mix,https://www.youtube.com/watch?v=f9qavey27Kc,40,5245
37,Porter Robinson X Slander X Said The Sky Inspired Mix By C-Nam,https://www.youtube.com/watch?v=HxG99B8b90w,41,2482
38,Worakls - Digital DGTL (Full Live),https://www.youtube.com/watch?v=hAwDKT9ix28,42,4047
39,"Worakls , N'to , Joachim Pastor Mix Special Hungry Music Mixed by Ben C",https://www.youtube.com/watch?v=Et0bFcvSImY,43,6022
40,Worakls Orchestra live at Château La Coste in France for Cercle,https://www.youtube.com/watch?v=QRQwZDWz1Pw,44,6362
41,Shingo Nakamura - 'Only Silk 04' (Progressive House Mix),https://www.youtube.com/watch?v=k0MPgKG8oh4,45,4636
42,The Calm - Chillstep Mix,https://www.youtube.com/watch?v=_1eCGZL5sgc,46,3891
43,Møme live @ Tahiti for Cercle,https://www.youtube.com/watch?v=F2MLl8tEqYQ,47,4517
44,FKJ live at Salar de Uyuni in Bolivia for Cercle,https://www.youtube.com/watch?v=sCNlt5nvSI8,48,5553
45,Hollow Knight Official Soundtrack (Full Album),https://www.youtube.com/watch?v=0HbnqjGirFg,49,4056
46,Hollow Knight OST + Gods & Nightmares,https://www.youtube.com/watch?v=IWZktANV-D8,50,6056
47,'Taking You Higher' (Progressive House Mix),https://www.youtube.com/watch?v=OBl4pp0Sfko,51,4610
48,'Peaceful Solitude' Mix,https://www.youtube.com/watch?v=N2mVfpDHr9k,52,4463
49,'Taking You Higher Pt. 2' (Progressive House Mix),https://www.youtube.com/watch?v=heJBwBUStXU,53,6230
50,Never ending Nujabes,https://www.youtube.com/watch?v=2sML2bq_WGw,54,3080
51,Selected Future House Mix,https://www.youtube.com/watch?v=amRT92Kws0o,55,1871
52,Carbon Based Lifeforms - Derelicts [Full Album],https://www.youtube.com/watch?v=5o_uF1L5l6o,56,4943
53,Carbon Based Lifeforms - World Of Sleepers [Full Album],https://www.youtube.com/watch?v=KQE29az48gM,57,4720
54,Stellardrone - Light Years [Full Album],https://www.youtube.com/watch?v=NDJn0SQehb4,58,2686
55,Best of 2019 Mix,https://www.youtube.com/watch?v=AaC6v0wCQWg,59,15156
56,Carbon Based Lifeforms - Interloper [Full Album - 2015 Remaster],https://www.youtube.com/watch?v=-9pgIVcB3rk,60,4498
57,Coccolino Deep - Dancing with Elephant,https://www.youtube.com/watch?v=4TdZ1_OVfZU,61,3586
58,Ibiza Summer Mix 2020 🍓 Best Of Tropical Deep House Music Chill Out Mix By Deep Legacy #39,https://www.youtube.com/watch?v=VH5cF8liVvQ,62,9959
59,"""Whispers Wonder” ~ Japanese Trance & Progressive Mix (Harmonically Mixed)",https://www.youtube.com/watch?v=IVvpfQjR6jQ,63,8724
60,The Glitch Mob - Drink the Sea (Full Album),https://www.youtube.com/watch?v=tVqPx5mUj0g,64,3561
61,Make Progressive House Great Again!,https://www.youtube.com/watch?v=xETEYG-az9E,65,3241
62,Illenium - Awake (Full Album),https://www.youtube.com/watch?v=B3IRK1kVvWI,66,2509
63,Celeste - Complete Soundtrack - Full OST Album,https://www.youtube.com/watch?v=2JsYHpiH2xs,67,6063
64,Life in Heaven | Beautiful Chill Mix,https://www.youtube.com/watch?v=zKIfRRjj_w0,68,4414
65,Disney Pixar's Soul 2020 (Original Motion Picture Soundtrack) Full Album [Jazz Music],https://www.youtube.com/watch?v=VXxRNlNM7oc,69,188
66,Daft Punk ~ Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),https://www.youtube.com/watch?v=3Qxe-QOp_-s,70,3912
67,Tomorrowland 2012 | official aftermovie,https://www.youtube.com/watch?v=UWb5Qc-fBvk,71,1200
68,Caravan Palace - Chill with Caravan Palace (One Hour Mix),https://www.youtube.com/watch?v=FBn7QPQaVPo,72,3732
69,Ibiza Summer Mix 2020 🌱 Best Summer Hits 🌱 Best Of Remixes Deep House 2020,https://www.youtube.com/watch?v=Z_fNOPwGI7k,73,3433
70,Basshunter Megamix,https://www.youtube.com/watch?v=f1EWp9HcoKE,74,4359
71,Shadow of the Colossus Remake FULL Soundtrack,https://www.youtube.com/watch?v=57jIlw6HmCE,75,4550
