,Title,URL,Index,Duration
0,"Um, We Have A Few Questions About the Purge (CH Does the Purge)",https://www.youtube.com/watch?v=5TpY7ZjmFro,1,239
1,Your Healthy Friend Who Still Does Drugs,https://www.youtube.com/watch?v=2T_jCX8J_I0,2,184
2,Why The Hell Is He Her Boyfriend?,https://www.youtube.com/watch?v=LWfJB1Vmm8k,3,216
3,Don't Worry: My Sunburn Will Turn Into a Tan,https://www.youtube.com/watch?v=oc_t_c8neC4,4,130
4,The New iPhone is Just Worse,https://www.youtube.com/watch?v=RgBDdDdSqNE,5,206
5,If Donald Trump Had Been President Throughout History,https://www.youtube.com/watch?v=3aWOaG0evNk,6,172
6,If the 10 Commandments Were Written Today,https://www.youtube.com/watch?v=SjHPzuINEts,7,201
7,Every Hitman’s Worst Nightmare,https://www.youtube.com/watch?v=bkgre8Re8Tc,8,172
8,Why Summer is Women's Winter,https://www.youtube.com/watch?v=d2NNm8MTboA,9,188
9,If You Competed in the Olympics,https://www.youtube.com/watch?v=-nSrJwWvGV8,10,188
10,Strip Clubs Suck,https://www.youtube.com/watch?v=rUuFsfdGrYw,11,249
11,This Thumbnail is a Butt,https://www.youtube.com/watch?v=xYrRq5U5kcc,12,175
12,"No, You Weren’t “Born in the Wrong Decade”",https://www.youtube.com/watch?v=hc6VP7Qp-Y8,13,211
13,Which of The “Friends” Are You? | Bad Internet,https://www.youtube.com/watch?v=2QyzjYqkj2U,14,714
14,Why Bernie Sanders is Actually Winning,https://www.youtube.com/watch?v=NHS-K7OuLAc,15,203
15,How To Hide You’re Out Of Shape,https://www.youtube.com/watch?v=pSLOqLtPsoU,16,216
16,Oh No. Why is THIS Trending?!,https://www.youtube.com/watch?v=rIQB4Ea2xYI,17,220
17,The Girl Who Makes Every Disaster About Her,https://www.youtube.com/watch?v=Sh5oNRuKLJM,18,205
18,Magic Schools Sh*ttier Than Hogwarts,https://www.youtube.com/watch?v=fZXhpEgBbd4,19,189
19,Financial Tips For BROKE People,https://www.youtube.com/watch?v=rYaOZlBVmmk,20,189
20,Donald Trump: Show Us Your Penis,https://www.youtube.com/watch?v=uG5kSgJtyQg,21,196
21,The Social Media Version Of Your Ex-Girlfriend,https://www.youtube.com/watch?v=9YVSNaHd2QQ,22,151
22,Why Are My Nipples Pixelated?,https://www.youtube.com/watch?v=OMCjWpXy_aI,23,229
23,Stop Making Guns So Sick,https://www.youtube.com/watch?v=5BwybfDmvIk,24,128
24,No New Mikes In 2016,https://www.youtube.com/watch?v=jedA1-bFvC8,25,156
25,If Google Was A Guy (Part 5),https://www.youtube.com/watch?v=9ze87zQFSak,26,134
26,All 24 Types Of Males Explained,https://www.youtube.com/watch?v=Br4ln6CLIz4,27,173
