,Title,URL,Index,Duration
0,The Last Jedi - The Most POLARIZING Star Wars Movie,https://www.youtube.com/watch?v=i_3_W4GRb44,2,1256
1,Why You Should Watch Star Wars: The Clone Wars,https://www.youtube.com/watch?v=gAdo3dGYd1E,3,801
2,Star Wars: Rebels - Why it Sucks,https://www.youtube.com/watch?v=kvwNgtAR8cE,4,1578
3,Star Wars Rebels - Was it Worth it?,https://www.youtube.com/watch?v=f9vAdiqIOoE,5,877
4,Star Wars Episode One The Phantom Menace The Movie The Game,https://www.youtube.com/watch?v=batvgnI_TzE,6,633
5,Return of the Jedi: Why it Sucks,https://www.youtube.com/watch?v=Le5OOdLrU9s,7,1159
6,Battlefront is Boring?,https://www.youtube.com/watch?v=Nn336n5ivec,8,451
7,Solo is Fun - You Guys Are Just Mean,https://www.youtube.com/watch?v=K67MKEw-Ctc,9,435
8,Why Spider-Man: Homecoming is the Best MCU Movie,https://www.youtube.com/watch?v=VTreFqYO7TY,10,712
9,The (Many) Problems With Black Panther,https://www.youtube.com/watch?v=gl_AsC9CRkA,11,503
10,The (Only) Problem With Thor Ragnarok,https://www.youtube.com/watch?v=wZE0LedBp54,12,461
11,Ant Man & the Wasp - Worth Seeing?,https://www.youtube.com/watch?v=9A3Jb0ZgUMY,13,477
12,Infinity War - Changing the Marvel Formula,https://www.youtube.com/watch?v=U0cp0TyJH5Q,14,449
13,The Marvel Cinematic Universe - All Movies Reviewed and Ranked (Pt. 1),https://www.youtube.com/watch?v=EBdMcszVMcg,15,1627
14,The Marvel Cinematic Universe - All Movies Reviewed and Ranked (Pt. 2),https://www.youtube.com/watch?v=gUl7y9qNZqQ,16,2439
15,The Marvel Cinematic Universe - All Movies Reviewed and Ranked (Pt. 3),https://www.youtube.com/watch?v=ZtP8fgGtRT0,17,1791
16,"Spider-Man PS4 - The Good, The Bad, and the Amazing",https://www.youtube.com/watch?v=50dVB8uecGQ,18,731
17,The Actual Best Spider-Man Game,https://www.youtube.com/watch?v=UKtGeaxV2Uk,19,840
18,Venom - About as Bad as You Expect,https://www.youtube.com/watch?v=efX5Od88-6w,20,668
19,Sam Raimi's Spider-Man Trilogy - Worse Than You Remember,https://www.youtube.com/watch?v=4THpqdEgbqo,21,1587
20,The Amazing Spider-Man 1&2 - Worse Than You Can Even Imagine,https://www.youtube.com/watch?v=S-myJdkVKAk,22,2112
21,The Problem With DC's Heroes,https://www.youtube.com/watch?v=PraUjsClgDM,23,1518
22,The (Only) Problem With Wonder Woman - Cosmonaut Review,https://www.youtube.com/watch?v=A11JXb6dEh0,24,911
23,Teen Titans Go is Cute - You Guys Are Just Mean,https://www.youtube.com/watch?v=v7HVmN96EMc,25,288
24,"Good Trailer, Bad Trailer - The Art Behind Trailers",https://www.youtube.com/watch?v=V502wOke9xE,26,768
25,Neo Yokio: Why it Sucks,https://www.youtube.com/watch?v=0-sirff2Avk,27,709
26,Blade Runner 2049 - Not Your Average Hollywood Sequel,https://www.youtube.com/watch?v=8y05JxBPDHQ,28,449
27,Death Note (2017) - Why it Sucks,https://www.youtube.com/watch?v=Dl6btU2QgHI,29,1445
28,The Problem with Destiny 2,https://www.youtube.com/watch?v=yVIoDhdT3JI,30,785
29,Why You Should Watch Castlevania (Netflix) - Cosmonaut Quickie,https://www.youtube.com/watch?v=y0ihYDrNs3A,31,418
30,Please Watch the New Samurai Jack,https://www.youtube.com/watch?v=rsZ3h1VBp-E,32,825
31,The Cloverfield Paradox - Why it Sucks,https://www.youtube.com/watch?v=nMMUlyix87c,33,1018
32,DBFZ - The Greatest Fighting Game EVER MADE?,https://www.youtube.com/watch?v=By6NQq5KkEI,34,544
33,Bright (2017) - A Hot Mess of a Movie,https://www.youtube.com/watch?v=L7IuyfYMHhQ,35,1473
34,10 Tips For Beginner Dungeon Masters,https://www.youtube.com/watch?v=0oD6mF9vSRk,36,750
35,Ready Player One - Does it Suck or Not?,https://www.youtube.com/watch?v=amVu-CGAHog,37,492
36,"Watch Devilman Crybaby, You Coward",https://www.youtube.com/watch?v=d6vJzrAbcq0,38,585
37,Pacific Rim Uprising - An Unworthy Sequel,https://www.youtube.com/watch?v=IriconYObSo,39,592
38,Dragonball Evolution - Cosmonaut Picture Show,https://www.youtube.com/watch?v=stdUWmijGgY,40,742
39,"The Strange, Scary World of Adult Parodies",https://www.youtube.com/watch?v=fD2pdADDgOs,42,844
40,Comic-Con Trailer Recap (Clone Wars Season 7 Reaction),https://www.youtube.com/watch?v=2tTHA0O23i0,43,572
41,Most Anticipated Games of 2018,https://www.youtube.com/watch?v=t-7tSLO5hFU,44,460
42,Game of Spoilers - A Telltale Series,https://www.youtube.com/watch?v=8_-p9thwiNg,45,523
43,The Problem With Kingdom Hearts,https://www.youtube.com/watch?v=R88XGClRibU,46,991
44,Superbad - The Greatest Teen Comedy of All Time,https://www.youtube.com/watch?v=8UvS0CxIG_o,47,766
45,Shrektober - The Shrekening,https://www.youtube.com/watch?v=oLSpkquhuIk,48,622
46,Dragon Ball - The Best Arc in Shonen History (reupload),https://www.youtube.com/watch?v=4y6lstJQpRI,49,1233
47,Video Game Movies - Why They Always Suck,https://www.youtube.com/watch?v=k2V_DxYTi94,50,748
48,Why You Should Play Fighting Games - And How,https://www.youtube.com/watch?v=UT2pDl-lKX8,51,1887
49,Kingdom Hearts 3 - Why it Sucks,https://www.youtube.com/watch?v=bAuo8sG6MtY,52,1294
50,Alita Battle Angel - Anime Movies Still Don't Work,https://www.youtube.com/watch?v=mhqajl-Zvpk,53,239
