,Title,URL,Index,Duration
0,A Shark with Scoliosis,https://www.youtube.com/watch?v=WaXgC59iM-k,1,150
1,The Dentist Paralyzed Half Her Face,https://www.youtube.com/watch?v=ph2ZBNFzhsQ,2,151
2,They Made a Tornado Inside Their House,https://www.youtube.com/watch?v=jg4zHEMWzbw,3,154
3,Crab Fights Man's Shadow,https://www.youtube.com/watch?v=J5m1V-05ZDg,4,155
4,X-Ray of a Dog Eating Food,https://www.youtube.com/watch?v=lO7XpDalr5g,5,184
5,Dog Chooses Chaos,https://www.youtube.com/watch?v=UqJhj88Szb8,6,195
6,Why There Is Plastic In Fish Meat,https://www.youtube.com/watch?v=Bwoma6Btu2Y,7,197
7,Rare Gemstone Looks Like The Cookie Monster,https://www.youtube.com/watch?v=6Lril8QcS40,8,200
8,How Blind People Text On Their Phones,https://www.youtube.com/watch?v=aICoVi621_I,9,200
9,Why This Slug Cut Off Its Own Head,https://www.youtube.com/watch?v=PV9zOok83oo,10,197
10,Mountain Creates Extreme Static Electricity,https://www.youtube.com/watch?v=5a1oW7yg3c0,11,200
11,What Happens When You Swallow A Pill,https://www.youtube.com/watch?v=6TRY4wHDwkw,12,199
12,What Every Supermarket Puts On Their Apples,https://www.youtube.com/watch?v=CjKprUwHa10,13,208
13,Cutting Scissors With Paper,https://www.youtube.com/watch?v=_4fwgRQbwDo,14,202
14,How To Deep Fry Water,https://www.youtube.com/watch?v=WXo07dpXNOc,15,199
15,Transforming A Leaf Into Meat,https://www.youtube.com/watch?v=r8LhWIzUnvk,16,198
16,What Your Sweat Looks Like Up Close,https://www.youtube.com/watch?v=ACIt2aTuCac,17,196
17,How Astronauts Pee in Space,https://www.youtube.com/watch?v=Bq3aTGUEHDM,18,203
18,This Animal Is On Your Face Right Now,https://www.youtube.com/watch?v=F7hZj0ICDUg,19,202
19,Hamburger Left in a Closet for 24 Years,https://www.youtube.com/watch?v=9DogejLMjjU,20,204
20,Plants That Can Make Music,https://www.youtube.com/watch?v=8yWDuG3a7CM,21,202
21,Water That's Been Trapped For Millions Of Years,https://www.youtube.com/watch?v=aUFQefBfo9Q,22,206
22,Eating A Cow Without Hurting It,https://www.youtube.com/watch?v=PWqfjIuD9to,23,198
23,Crushing A Car With Water,https://www.youtube.com/watch?v=v62O7Yt2dAI,24,199
24,Timelapse Of A Wound Healing,https://www.youtube.com/watch?v=pbLd3k_8_Fw,25,203
25,Strange Light Dances In The Clouds,https://www.youtube.com/watch?v=sJ-0XV9SRZU,26,206
26,Man Puts Hand In Molten Metal,https://www.youtube.com/watch?v=S9tWh5uwQNY,27,199
27,"Mummy Speaks For First Time in 3,000 years",https://www.youtube.com/watch?v=6sK7vir44Dk,28,202
28,Plants That Give Tattoos,https://www.youtube.com/watch?v=OVrpyItyKlQ,29,201
29,Really Stretchy Ice,https://www.youtube.com/watch?v=CDvdqo_R6iY,30,205
30,Lightning Storm Inside A Volcano,https://www.youtube.com/watch?v=tQvGlringww,31,204
31,A Really Small Pupil,https://www.youtube.com/watch?v=4aT7YuBsc4Q,32,197
32,Making Tattoos Disappear In Seconds,https://www.youtube.com/watch?v=zzLDW2SoCj0,33,201
33,Invisibility Is Now Real,https://www.youtube.com/watch?v=-RJZn3RgBAY,34,201
34,Viewing A Solar Eclipse From Space,https://www.youtube.com/watch?v=pDZwaP5Me-w,35,197
35,They Did Surgery On An Egg,https://www.youtube.com/watch?v=MeBFznqQyoo,36,207
36,Divers Find Giant Squid Egg,https://www.youtube.com/watch?v=4nVrwjBcjY4,37,207
37,Sharks That Glow In the Dark,https://www.youtube.com/watch?v=FOCI-14byAc,38,196
38,A Rock That Glows,https://www.youtube.com/watch?v=SptBnBsu1ww,39,197
39,A Human Burrito,https://www.youtube.com/watch?v=mrZyiHEf5gI,40,198
40,Crash Test For Dogs,https://www.youtube.com/watch?v=__UytIDkuX0,41,171
41,The Strongest Bed In The World,https://www.youtube.com/watch?v=VypFFGWCK5I,42,203
42,A Transparent Caterpillar,https://www.youtube.com/watch?v=gZi2RKVC4-k,43,206
43,Mysterious Floating Lights Spotted in Norway,https://www.youtube.com/watch?v=34hN34OTbmU,44,200
44,How To Bring Anyone Back To Life,https://www.youtube.com/watch?v=LKrTGik5wsI,45,199
45,Playing Violin During Brain Surgery,https://www.youtube.com/watch?v=iLnd9lgsTPQ,46,198
46,Teacher Shows Gravity Defying Water Trick,https://www.youtube.com/watch?v=17ToD8QsI2E,47,198
47,Making Artificial Rain Clouds,https://www.youtube.com/watch?v=UxhUxbaLBrM,48,192
48,Eating A 3D Printed Steak,https://www.youtube.com/watch?v=NNZ6QP7xKTQ,49,195
49,How To Move Your Mustard,https://www.youtube.com/watch?v=KOFe2B25Vjg,50,200
50,Fire Tornado Inside A Bubble,https://www.youtube.com/watch?v=Ot7O_63pTlo,51,198
51,Self-Healing Fabric,https://www.youtube.com/watch?v=QuysZvtpbeE,52,177
52,The Smartest Paper Clip,https://www.youtube.com/watch?v=2-GY7mKHh0U,55,189
53,Firefighters With X-Ray Vision,https://www.youtube.com/watch?v=fo5ljx3wQUw,56,196
54,Glasses That Block The Internet,https://www.youtube.com/watch?v=vqmCu854rHc,58,206
55,A Reverse Microwave,https://www.youtube.com/watch?v=adK6qT3t7us,60,195
56,Meteor Makes A Smoke Ring,https://www.youtube.com/watch?v=zwluLmMrYvc,61,194
57,How To Fix Your Neck,https://www.youtube.com/watch?v=FpzG1Ib2Wxk,62,196
58,The Most Powerful Soda Can Engine,https://www.youtube.com/watch?v=7vO5Pg_iZ2s,63,196
59,A Flying Train,https://www.youtube.com/watch?v=QF7bmCoMqco,64,194
60,Shoes Made of Gum,https://www.youtube.com/watch?v=Lf6WeqYP1Z8,65,194
61,How To Dissolve Gold,https://www.youtube.com/watch?v=V7jbbbCh7TA,66,195
62,Making Beer From Sewer Water,https://www.youtube.com/watch?v=EQFoFjqOfMk,67,186
