,Title,URL,Index,Duration
0,Eric Schmidt: Google | Lex Fridman Podcast #8,https://www.youtube.com/watch?v=hIC9FQpxVwQ,1,1987
1,Yoshua Bengio: Deep Learning | Lex Fridman Podcast #4,https://www.youtube.com/watch?v=azOmzumh0vQ,2,2538
2,Steven Pinker: AI in the Age of Reason | Lex Fridman Podcast #3,https://www.youtube.com/watch?v=epQxfSp-rdU,3,2273
3,Ray Kurzweil - Human-Level AI is Just 12 Years Away,https://www.youtube.com/watch?v=JiXVMZTyZRw,4,3596
4,"Eric Weinstein: Revolutionary Ideas in Science, Math, and Society | Lex Fridman Podcast #16",https://www.youtube.com/watch?v=2wq9x2QcZN0,5,4916
5,Elon Musk: Tesla Autopilot | Lex Fridman Podcast #18,https://www.youtube.com/watch?v=dEv99vxKjVI,6,1965
6,"Oriol Vinyals: DeepMind AlphaStar, StarCraft, and Language | Lex Fridman Podcast #20",https://www.youtube.com/watch?v=Kedt2or9xlo,7,6361
7,Richard Feynman - The World from another point of view,https://www.youtube.com/watch?v=GNhlNSLQAFE,9,2202
8,Jordan Peterson on Alcohol,https://www.youtube.com/watch?v=4cYuWLZI5kw,12,901
9,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot | Lex Fridman Podcast #49",https://www.youtube.com/watch?v=smK9dgdTl40,13,2170
10,"Jim Keller: Moore's Law, Microprocessors, and First Principles | Lex Fridman Podcast #70",https://www.youtube.com/watch?v=Nb2tebYAaOA,14,5683
11,Andrew Ng: One Thing We Got Wrong and One Thing We Got Right about Deep Learning | AI Podcast Clips,https://www.youtube.com/watch?v=8-z3TGxHuLM,15,598
12,"Andrew Ng: Deep Learning, Education, and Real-World AI | Lex Fridman Podcast #73",https://www.youtube.com/watch?v=0jspaMLxBig,16,5350
13,"Michael I. Jordan: Machine Learning, Recommender Systems, and Future of AI | Lex Fridman Podcast #74",https://www.youtube.com/watch?v=EYIKy_FM9x0,17,6349
14,Disinformation Technology: How Online Propaganda Campaigns Are Influencing Us | Renee DiResta,https://www.youtube.com/watch?v=hhfL9ypkZuA,18,4275
15,Jamie Metzl on The Portal (with host Eric Weinstein) Ep. #029 – The Bio-Hacker will see you now,https://www.youtube.com/watch?v=rXBjHcWkq6U,19,7084
16,"Avi Loeb: Aliens, Black Holes, and the Mystery of the Oumuamua | Lex Fridman Podcast #154",https://www.youtube.com/watch?v=plcc6E-E1uU,20,9831
17,Jailbreaking the Simulation with George Hotz | SXSW 2019,https://www.youtube.com/watch?v=ESXOAJRdcwQ,21,3359
18,"Chamath Palihapitiya, Founder and CEO Social Capital, on Money as an Instrument of Change",https://www.youtube.com/watch?v=PMotykw0SIk,22,3376
19,Daniel Schmachtenberger: Steering Civilization Away from Self-Destruction | Lex Fridman Podcast #191,https://www.youtube.com/watch?v=hGRNUw559SE,23,15319
20,"Joscha Bach: Nature of Reality, Dreams, and Consciousness | Lex Fridman Podcast #212",https://www.youtube.com/watch?v=rIpUf-Vy2JA,24,11541
21,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",https://www.youtube.com/watch?v=QmOF0crdyRU,25,8191
