author	channel_url	title	webpage_url	view_count	like_count	dislike_count	average_rating	duration	upload_date	tags	categories	description	thumbnail	best_format	filesize_bytes
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Hanne Mjøen - Hell With You (lyrics)	https://www.youtube.com/watch?v=kDmeMlt8qCU	38861	3710	57	4.9394746	184	20210427	['MrSuicideSheep', 'Music', 'Hanne Mjoen Hell With You lyrics', 'Hanne Mjoen', 'Indie Pop', 'Hell With You lyrics', 'indie', 'indie dance', 'dance pop', 'dance', 'electronic']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://orcd.co/hellwithyou

Hanne Mjoen
https://soundcloud.com/hannemjoenmusic
https://www.facebook.com/hannemjoenmusic
https://www.instagram.com/hanne.mjoen/
https://twitter.com/hannemjoen

Artwork by Shykip
https://www.artstation.com/shykip"	https://i.ytimg.com/vi_webp/kDmeMlt8qCU/maxresdefault.webp	399 - 1920x1080 (1080p)	11047537.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Arrested Youth - Leave My Casket Open... (SMLE Remix)	https://www.youtube.com/watch?v=kSQSXQXn8Ro	67785	5389	113	4.9178481	226	20210426	['MrSuicideSheep', 'Music', 'Arrested Youth Leave Me Casket Open SMLE Remix', 'Arrested Youth', 'Leave My Casket Open', 'SMLE', 'Future Bass', 'Electronic', 'Dubstep', 'Alt Pop']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://arrestedyouth.ffm.to/casket_smleremix

SMLE
https://soundcloud.com/smlemusic/
https://www.instagram.com/smlemusic/
https://twitter.com/smlemusic
https://www.facebook.com/smlemusic

Arrested Youth
https://www.instagram.com/arrestedyouth/
https://www.facebook.com/ArrestedYouthMusic/
https://www.arrestedyouth.com/
https://twitter.com/ArrestedYouth

Artwork by Joshua Bijdeveldt
https://www.youtube.com/channel/UC52STy1GwIFVK7IK9fIwYJQ
https://www.instagram.com/digital_magician/"	https://i.ytimg.com/vi_webp/kSQSXQXn8Ro/maxresdefault.webp	248 - 1920x1080 (1080p)	14245672.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Aether - Fragments	https://www.youtube.com/watch?v=t7kOI_1oWzs	79020	5736	70	4.9517741	262	20210425	['MrSuicideSheep', 'Music', 'Aether Fragments', 'Aether', 'Ambient', 'Chill Out', 'Downtempo', 'Electronica']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream  ⧩
https://aetheraudio.bandcamp.com/album/fragments

Aether
https://soundcloud.com/aetheraudio
https://twitter.com/AetherAudio
https://www.facebook.com/aetheraudio/
https://www.instagram.com/aetheraudio/
https://www.youtube.com/user/AetherAudio

Artwork by Michael Vincent Manalo
https://www.artstation.com/artwork/YxPxq
http://www.michaelvincentmanalo.com/
https://www.facebook.com/MVMArtworks"	https://i.ytimg.com/vi_webp/t7kOI_1oWzs/maxresdefault.webp	248 - 1920x1080 (1080p)	5741842.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Justin Bieber - Peaches (Marc Benjamin Remix)	https://www.youtube.com/watch?v=Pvkv3A2fDOQ	79872	5083	213	4.8391237	159	20210424	['MrSuicideSheep', 'Music', 'Justin Bieber Peaches Marc Benjamin Remix', 'Justin Bieber Remix', 'Peaches House Remix', 'Marc Benjamin', 'House', 'Disco', 'Dance', 'EDM', 'Pop Dance', 'Electronic']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩

Marc Benjamin
https://soundcloud.com/marcbenjamin
https://twitter.com/marcbenjamins
https://www.facebook.com/TheMarcBenjamin/
https://www.youtube.com/c/MarcBenjamin/

Justin Bieber
https://www.instagram.com/justinbieber/

Artwork by RaidesArt
https://twitter.com/RaidesArt
https://www.instagram.com/raidesart/"	https://i.ytimg.com/vi_webp/Pvkv3A2fDOQ/maxresdefault.webp	248 - 1920x1080 (1080p)	12384753.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Ben Walter - Blossom	https://www.youtube.com/watch?v=PXKshDFfMjA	95707	5504	88	4.9370527	247	20210422	['MrSuicideSheep', 'Music', 'Ben Walter Blossom', 'Ben Walter', 'Dubstep', 'Melodic Bass', 'EDM', 'Epic music', 'Electronic']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://ndc.fanlink.to/ben-walter-blossom

Ben Walter
https://soundcloud.com/ben-walter-12
https://www.facebook.com/BenWalterOfficial/

Artwork by Anato Finnstark
https://www.artstation.com/artwork/xzXO1E
https://www.facebook.com/finnstarkillustration
https://twitter.com/AFinnstark
https://www.instagram.com/anatofinnstark/"	https://i.ytimg.com/vi_webp/PXKshDFfMjA/maxresdefault.webp	248 - 1920x1080 (1080p)	22157584.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Sam Day, OVRDSE & Hatim - Eyes Open Wide	https://www.youtube.com/watch?v=AQO6k6pW_CI	99127	5356	114	4.916636	202	20210421	['MrSuicideSheep', 'Music', 'Sam Day Eyes Open Wide', 'Sam Day', 'Electronic', 'Future Bass', 'EDM', 'OVRDSE', 'Melodic Bass', 'Dubstep', 'House']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://foundred.ffm.to/eyesopenwide

Sam Day
https://soundcloud.com/samdayuk
https://www.instagram.com/samdayuk/
https://twitter.com/samdayuk

OVRDSE
https://www.instagram.com/ovrdsemusic/
https://www.facebook.com/ovrdsemusic

Hatim
https://www.instagram.com/hatimsiddique/
https://twitter.com/HatimSiddique

Artwork by v-0-3
https://linktr.ee/v03

Released by found/red 
https://spoti.fi/2nnnULM
https://www.instagram.com/foundredrecords 
https://twitter.com/foundredrecords
https://soundcloud.com/foundred"	https://i.ytimg.com/vi_webp/AQO6k6pW_CI/maxresdefault.webp	248 - 1920x1080 (1080p)	8518846.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Pauline Herr - Selfish	https://www.youtube.com/watch?v=vwLwMKFwujg	102658	5296	99	4.9265985	218	20210419	['MrSuicideSheep', 'Music', 'Pauline Herr Selfish', 'Pauline Herr', 'pop', 'indie pop', 'electronic pop', 'electronic', 'future bass', 'trap']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://seekingblue.ffm.to/selfish

Pauline Herr
https://soundcloud.com/paulineherr
https://twitter.com/paulineherr
https://www.instagram.com/paulineherr/
https://www.facebook.com/paulineherrmusic

Artwork by Karmen Loh
https://linktr.ee/bearbrickjia
https://www.artstation.com/karmenloh
https://www.patreon.com/bearbrickjia
https://www.instagram.com/bearbrickjia"	https://i.ytimg.com/vi_webp/vwLwMKFwujg/maxresdefault.webp	248 - 1920x1080 (1080p)	19076589.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Two Feet - Nightmares (lyrics)	https://www.youtube.com/watch?v=mM-5va850Ig	121727	6535	97	4.9414959	200	20210418	['MrSuicideSheep', 'Music', 'Two Feet Nightmares lyrics', 'Two Feet Nightmares', 'Two Feet', 'Nightmares lyrics', 'blues', 'alt rock', 'alternative pop', 'alt electronic', 'alternative']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://twofeet.ffm.to/maxmacoisdeadright

Two Feet
https://soundcloud.com/twofeetmusic​
https://www.facebook.com/twofeetmusic​
https://twitter.com/TwoFeetMusic​
https://www.instagram.com/twofeetmusic/​

Artwork by Roberto Tumini"	https://i.ytimg.com/vi_webp/mM-5va850Ig/maxresdefault.webp	248 - 1920x1080 (1080p)	8859952.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Moodshift - Heartless (feat. Oliver Nelson, Lucas Nord & flyckt)	https://www.youtube.com/watch?v=9Z1yFhaDjaI	80742	4235	106	4.9023266	145	20210417	['MrSuicideSheep', 'Music', 'moodshift heartless', 'oliver nelson', 'lucas nord', 'flyckt', 'house', 'deep house', 'electronic', 'edm']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://umg.lnk.to/_Heartless

Moodshift
https://www.facebook.com/moodshiftmusic
https://twitter.com/moodshiftmusic
https://soundcloud.com/wearemoodshift
https://www.instagram.com/moodshiftmusic/

Oliver Nelson
https://soundcloud.com/olivernelson
https://www.facebook.com/olkannelson
https://twitter.com/olivernelson_
https://www.instagram.com/olivernelsonmusic/

Lucas Nord
https://soundcloud.com/lucas-nord
https://www.instagram.com/lucasnord/
https://www.facebook.com/lucasnord
https://twitter.com/lucasnord

flyckt
https://twitter.com/flycktmusic
https://www.instagram.com/flycktmusic/
https://www.facebook.com/flycktmusic/"	https://i.ytimg.com/vi_webp/9Z1yFhaDjaI/maxresdefault.webp	399 - 1920x1080 (1080p)	16185300.0
MrSuicideSheep	http://www.youtube.com/user/MrSuicideSheep	Two Feet - Flatline (lyrics)	https://www.youtube.com/watch?v=n4PJZMEi2G4	151764	7124	115	4.9364552	178	20210416	['MrSuicideSheep', 'Music', 'Two Feet Flatline lyrics', 'Two Feet', 'Flatline lyrics', 'alt pop', 'alternative', 'electronic', 'grunge', 'blues', 'alternative electronic', 'bass music']	['Entertainment']	"⬙  MrSuicideSheep Links ⬙
https://linktr.ee/MrSuicideSheep

⧩  Download/Stream ⧩
https://twofeet.ffm.to/maxmacoisdeadright

Two Feet
https://soundcloud.com/twofeetmusic
https://www.facebook.com/twofeetmusic
https://twitter.com/TwoFeetMusic
https://www.instagram.com/twofeetmusic/

Artwork by Mary Manea
https://www.instagram.com/mb24black/​​
https://www.facebook.com/blackmb24"	https://i.ytimg.com/vi_webp/n4PJZMEi2G4/maxresdefault.webp	248 - 1920x1080 (1080p)	5601684.0
