author	channel_url	title	webpage_url	view_count	like_count	dislike_count	average_rating	duration	upload_date	tags	categories	description	thumbnail	best_format	filesize_bytes
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	Ruroc Atlas 2.0 Review (One Year Of Ownership)	https://www.youtube.com/watch?v=v0LRdq5dRIs	1898	31	4	4.5428572	339	20210321	['ruroc', 'ruroc atlas 2.0', 'atlas 3.0', 'ruroc atlas 3.0', 'new', 'review', 'honest reviews', 'gopro', 'canon', 'yamaha', 'mt07', 'biker girl', 'youtuber', 'youtube', 'huffer', 'gshock', 'casio', 'samsung', 'evo', 'mitsubishi', 'evo x', 'not sponsored', 'tiktok', 'viral', 'new zealand', 'nz', 'hd', 'full hd']	['Entertainment']	"Whats up guys! welcome back to another video of mine this time reviewing the Ruroc Atlas 2.0 one year later. I do like this helmet but there are a few things that I hope have been fixed seeing as the new 3.0 is coming out soon! 


I may not be able to get the new 3.0 helmet as their financing option is not available to residents of New Zealand big sad :( 


Hopefully I could save up to get it!


I mean feel free to donate like $1 so I can get the new 3.0 Atlas ;)
https://bit.ly/3lEBbsJ


My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/​ 
Follow My Instagram mia_.maria
Snapchat: thee-russian
Tiktok: https://www.tiktok.com/@mot0girl?lang=en


Music:
Autumn 2011 by Loxbeats https://spoti.fi/34tPBBO​
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download / Stream: https://bit.ly/autumn-2011​
Music promoted by Audio Library https://youtu.be/r4twe3BxxX8


#ruroc #atlas2.0 #review"	https://i.ytimg.com/vi/v0LRdq5dRIs/maxresdefault.jpg	18 - 640x360 (360p)	23087361.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	I Was On The Radio!	https://www.youtube.com/watch?v=HlF2fkJoilU	217	23	0	5.0	201	20210228	['radio', 'nz', 'panda', 'motoloot', 'waikato', 'traffic', 'revit', 'bikergirl', 'bikelife', 'bikersofyoutube', 'bikersofinstagram', 'alpinestars', 'famous', 'local star', 'happy']	['Entertainment']	"Radio Co Host Camille from The Breeze has tracked me down after seeing a post on the Cambridge Grapevine and welp here we are. 
If you see me out and about give me a wave!



My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/​ 
Follow My Instagram mia_.maria
Snapchat: thee-russian
Tiktok: https://www.tiktok.com/@mot0girl?lang=en


Thanks for watching!


#thebreeze #waikato #nz #motoloot"	https://i.ytimg.com/vi_webp/HlF2fkJoilU/maxresdefault.webp	18 - 640x360 (360p)	4395204.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	The Good Bits of 2020	https://www.youtube.com/watch?v=0Q8cdZkVJ_g	129	12	0	5.0	342	20210117	['2020', 'thw good and bad', 'better year', '2021', 'biker', 'biker girl', 'rewind', 'rewind time', 'gopro', 'motovlog', 'vlog', 'dji', 'cars', 'cars and coffee', 'car meet', 'mod', 'mod2020', 'evo', 'evox', 'mitsubishi', 'yamaha', 'yamaha mt07', 'mt07']	['Entertainment']	"Been a while since my last upload sorry!  I am more active on TikTok now that I have moved to a place with slow internet and I mean SLOW like dial up speed haha so bear with! 

I do admit I didn't like what happened in 2020 not only for me but everyone around the world had been affected. Was hard for me to stay mentally positive without a job was a lot more stressful financially but I wasn't the only one. So here are some clip of my last year (the good bits) and lets keep moving forward and have a better 2021!


Donate:
https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=H8YM43AVCR4VU


My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian
Tiktok: https://www.tiktok.com/@mot0girl?lang=en

Music:
Talk To Me by Peyruis https://soundcloud.com/peyruis 
Creative Commons — Attribution 3.0 Unported — CC BY 3.0  
Free Download / Stream: https://bit.ly/-talk-to-me

Music promoted by Audio Library https://youtu.be/VgCOV3gY2DE


Track: Too Sweet — IVAAVI [Audio Library Release]
Music provided by Audio Library Plus
Watch: https://youtu.be/wfKbVnW4Gco
Free Download / Stream: https://alplus.io/too-sweet


#2020 #rewind #abetter2021"	https://i.ytimg.com/vi/0Q8cdZkVJ_g/maxresdefault.jpg	18 - 640x360 (360p)	26678698.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	MOD2020 | Part 2 | Mitsubishi Owners Day	https://www.youtube.com/watch?v=-Jrcd7eZ2U8	281	19	0	5.0	240	20201031	['mitsubishi', 'mod2020', 'canon', 'evo', 'evo x', 'evo 3', 'evo 4', 'hampton downs', 'downtime entertainment', 'octane', 'livery', 'decals', 'halloween', 'spooky', 'teeth', 'gopro', 'cinematics', 'video edit', 'enkei', 'rota grid', 'reps', 'rep wheels', 'mitsubishi owners day', '2020', 'track day', 'track cars', 'race cars', 'helis', 'drift', 'stunt', '1080p', 'hd video']	['Entertainment']	"Here is part 2 of my fave time of year and that's MOD (Mitsubishi Owners Day) at Hampton Down Motorsport Park. This year it had been postponed due to covid so I thought I would take advantage and make my Evo X a bit spooky themed since its Halloween. 

For all those freaking out about me blocking the intercooler with my evo teeth I kept an eye on the temps and i was at optimum running temp the whole time :) 


Thanks to everyone who made this event possible :)



Donate:
https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=H8YM43AVCR4VU


My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian


Music:
Escape Is Senseless by SilentCrafter 
https://soundcloud.com/silentcraftero... 
Creative Commons — Attribution-ShareAlike 3.0 Unported — CC BY-SA 3.0 
Free Download / Stream: https://bit.ly/escape-is-senseless 
Music promoted by Audio Library https://youtu.be/CVD1xeMIcZc 


#MOD2020 #HamptonDowns #Mitsubishi"	https://i.ytimg.com/vi/-Jrcd7eZ2U8/maxresdefault.jpg	299 - 1920x1080 (1080p60)	151246667.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	MOD2020 | Part 1| The Mitsi Parade	https://www.youtube.com/watch?v=g7i3rSaJBC8	596	15	0	5.0	226	20201024	['mod', 'mod2020', 'mitsubishi', 'evo', 'evo x', 'evo 3', 'colt', 'hampton downs', 'hampton downs motorsport park', 'mitsi', 'rota', 'rota grid', 'after market', 'modified', 'race car', 'race cars', 'andrew simms', 'halloween']	['Entertainment']	"Probably my fave time of year and that's MOD (Mitsubishi Owners Day) at Hampton Down Motorsport Park. This year it had been postponed due to covid so I thought I would take advantage and make my Evo X a bit spooky themed since halloween is only a week away. 
For all those freaking out about me blocking the intercooler with my evo teeth I kept an eye on the temps and i was at optimum running temp the whole time :) 


Donate:
https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=H8YM43AVCR4VU


My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian


Waited (instrumental) by RYYZN https://soundcloud.com/ryyzn
Creative Commons — Attribution 3.0 Unported  — CC BY 3.0
Free Download / Stream: http://bit.ly/al-waited
Music promoted by Audio Library https://youtu.be/jJg0_gG-nCc


#MOD2020 #HamptonDowns #Mitsubishi"	https://i.ytimg.com/vi/g7i3rSaJBC8/maxresdefault.jpg	18 - 640x360 (360p)	16339072.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	I Did It!	https://www.youtube.com/watch?v=VrvmTx4Yu3Y	341	21	0	5.0	525	20201002	['revit', 'motorbike', 'motovlog', 'yamaha', 'icon helmets', 'ruroc', 'race suit', 'alpinestars', 'nz', 'raglan', 'rupaul', 'drag race', 'canon', 'eos m50', 'gopro', 'gopro hero 7', 'sena', 'sena 50c', 'model']	['Entertainment']	"I finally got it! I cool badass looking race suit. I spent a little extra because I traveled all the way to Auckland for a suit only to find my giant lady hips don't fit the petite lady suits so I got the Revit! Nova Suit from the mens section lolWhat do ya think do I look cool enough? Feels much better having extra protection!


Donate:
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=H8YM43AVCR4VU



My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.mariaSnapchat: thee-russian


Music:
Track: Those Restless Nights — Artificial.Music [Audio Library Release]Music provided by Audio Library 
PlusWatch: https://youtu.be/qxa2ud2l_BkFree Download / Stream: https://alplus.io/those-restless-nights


Thanks for Watching


#Revit #Icon #Yamaha"	https://i.ytimg.com/vi/VrvmTx4Yu3Y/maxresdefault.jpg	18 - 640x360 (360p)	42249532.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	Raglan Mission!	https://www.youtube.com/watch?v=5hQnJkhsEUo	231	18	1	4.7894735	495	20200831	['yamaha', 'riding', 'motorbikes', 'yammy', 'tj hunt', 'dustin williams', 'jake the garden snake', 'yammy noob', 'mt07', 'fz07', 'hd', '2k', '2.7k', 'gopro', 'gopro hero 7', 'gopro session', 'instagram', 'new zealand', 'summer', 'winter', 'graves', 'graves exhaust', 'berik', 'alpinestars', 'revit']	['Entertainment']	"Ah back to my good old reliable and favourite spot! Raglan!
Its just so close to home and a good ride when its a great like this Sunday just been :) 

Its also great to see my riding from another perspective as now I know what I need to work on and thats more lean ;) I look so funny on a bike haha

Hope you guys are all doing ok too despite the whole year disappearing faster than a peace of wet cotton candy leaving the small mits of a racoon lol 



Shout out to my mate Thomas for that sick footage! If ya didnt catch it his insta handle is thomas.hutchings19


My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian



Music:
Wake Up (feat. ROMY DYA) by Wataboi https://soundcloud.com/wataboi
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download / Stream: http://bit.ly/l-wake-up
Music promoted by Audio Library https://youtu.be/EChOp4h8VU0


Thanks for watching!



#ruroc #yamaha #nz"	https://i.ytimg.com/vi/5hQnJkhsEUo/maxresdefault.jpg	18 - 640x360 (360p)	44492050.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	Biker Tomfoolery	https://www.youtube.com/watch?v=BkdjdDcA4YU	237	15	0	5.0	110	20200808	['yamaha', 'kawasaki', 'mt07', 'wheelie', 'mexico', 'tomfoolery', 'gopro', 'footage', 'hd', '1080p', 'bikers', 'bike life', 'silly', 'biker girl', 'biker chick', 'cute', 'biker bros', 'anime', 'wow']	['Entertainment']	"Just a couple of bike fanatics fooling around Mexico and having a good time ;) 

Hope you are all doing well, 2020 sure is a weird year so trying to make the best of it by fooling around and relaxing a bit!


My Socials:
My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian



Music:
https://www.youtube.com/watch?v=5juyj9iIPiY&list=PLRBp0Fe2GpglKIXdvLnzcnCdRwEr3tbkO&index=2


Provided to YouTube by AEI Group Ltd

Stronger (Champion Remix) · Lemon Fight · Champion

Stronger (Champion Remix)

℗ 2018 NCS

Released on: 2018-11-16

Composer: Ago Teppand
Composer: Daniel Viinalass
Music  Publisher: Featherstone Music
Composer: Jason Richard Diaz
Composer: Jessica Joy Reynoso
Composer: Joosep Järvesaar



#BikeLife #Yamaha #Kawasaki #Mexico"	https://i.ytimg.com/vi_webp/BkdjdDcA4YU/maxresdefault.webp	18 - 640x360 (360p)	9594077.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	Evo X Gets An Oil Change!	https://www.youtube.com/watch?v=2trvM3pEuDY	608	22	0	5.0	709	20200722	['diy', 'oil change', 'car girl', 'cars', 'evo x', 'evo', 'mitsubishi', 'penrite', 'ryco', 'reps', 'rota', 'rota wheels', 'rota grid', 'yokohama', 'nike', 'yamaha', 'mt07', 'modified', 'maintenance']	['Entertainment']	"Been a while but hey I am a tad busy with moving and all that! Hope you got to enjoy a video of me struggling to do a simple oil change but I must preach again its easier on a motorbike lol
Thanks for watching!

My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian

Music:
Superstar - Soyb [Copyright-safe]
https://youtu.be/hESTVVTU_I8




#EvoX #oilchange #maintenance"	https://i.ytimg.com/vi/2trvM3pEuDY/maxresdefault.jpg	18 - 640x360 (360p)	48133825.0
Mia Maria	http://www.youtube.com/channel/UCLmhLjD60SJSGtQ-F0EZgVQ	Caffeine & Gasoline | June 2020	https://www.youtube.com/watch?v=ttLOdOKb2hw	148	9	0	5.0	165	20200701	['caffeine and gasoline', 'cars', 'car meet', 'jdm', 'euro', 'lotus', 'crash', 'skids', 'skid pan', 'nissan', 'toyota', 'subaru', 'rocket bunny', 'post covid', 'mazda', 'rx7', 'silvia', 'skyline', 'ae86', 'mods', 'lowered', 'static', 'stance']	['Entertainment']	"Was good to get out and see plenty cars again! I bet everyone was itching to go after lockdown! Was epic to see euro, jdm and heaps of muscle cars out despite the not so great weather which may have caused that poor Lotus to kiss the wall :( I hope the driver is ok! Apart from that was an awesome day!


My Socials:
Like My FB Page: https://www.facebook.com/MiaMariaMedia/ 
Follow My Instagram mia_.maria
Snapchat: thee-russian



Music:
Track: Follow Me — Vendredi [Audio Library Release]
Music provided by Audio Library Plus
Watch: https://youtu.be/7J8VeDZqJwA
Free Download / Stream: https://alplus.io/follow-me


#CaffieneandGasoline #Carmeets"	https://i.ytimg.com/vi_webp/ttLOdOKb2hw/maxresdefault.webp	18 - 640x360 (360p)	14277393.0
